task,controller,seed,total_reward,avg_queue_per_lane,success
rush_hour_control,ppo,0,-12413.00,31.032,False
rush_hour_control,ppo,1,-13031.00,32.578,False
rush_hour_control,ppo,2,-11406.00,28.515,False
rush_hour_control,ppo,3,-15046.00,37.615,False
rush_hour_control,ppo,4,-15121.00,37.803,False
rush_hour_control,ppo,5,-13475.00,33.688,False
rush_hour_control,ppo,6,-13642.00,34.105,False
rush_hour_control,ppo,7,-12513.00,31.282,False
rush_hour_control,ppo,8,-13367.00,33.417,False
rush_hour_control,ppo,9,-14421.00,36.053,False
rush_hour_control,ppo,10,-10871.00,27.177,False
rush_hour_control,ppo,11,-13970.00,34.925,False
rush_hour_control,ppo,12,-13181.00,32.953,False
rush_hour_control,ppo,13,-10648.00,26.620,False
rush_hour_control,ppo,14,-12465.00,31.163,False
rush_hour_control,ppo,15,-10115.00,25.288,False
rush_hour_control,ppo,16,-11586.00,28.965,False
rush_hour_control,ppo,17,-14915.00,37.288,False
rush_hour_control,ppo,18,-14480.00,36.200,False
rush_hour_control,ppo,19,-11204.00,28.010,False
rush_hour_control,ppo,20,-14498.00,36.245,False
rush_hour_control,ppo,21,-12437.00,31.093,False
rush_hour_control,ppo,22,-12470.00,31.175,False
rush_hour_control,ppo,23,-8930.00,22.325,False
rush_hour_control,ppo,24,-15387.00,38.468,False
rush_hour_control,ppo,25,-13629.00,34.072,False
rush_hour_control,ppo,26,-15025.00,37.562,False
rush_hour_control,ppo,27,-13770.00,34.425,False
rush_hour_control,ppo,28,-12033.00,30.082,False
rush_hour_control,ppo,29,-13387.00,33.468,False
rush_hour_control,ppo,30,-12853.00,32.133,False
rush_hour_control,ppo,31,-12117.00,30.293,False
rush_hour_control,ppo,32,-15404.00,38.510,False
rush_hour_control,ppo,33,-16532.00,41.330,False
rush_hour_control,ppo,34,-11356.00,28.390,False
rush_hour_control,ppo,35,-15749.00,39.373,False
rush_hour_control,ppo,36,-12999.00,32.498,False
rush_hour_control,ppo,37,-14937.00,37.343,False
rush_hour_control,ppo,38,-13455.00,33.638,False
rush_hour_control,ppo,39,-16310.00,40.775,False
rush_hour_control,ppo,40,-12913.00,32.282,False
rush_hour_control,ppo,41,-11653.00,29.133,False
rush_hour_control,ppo,42,-11546.00,28.865,False
rush_hour_control,ppo,43,-13325.00,33.312,False
rush_hour_control,ppo,44,-15060.00,37.650,False
rush_hour_control,ppo,45,-12124.00,30.310,False
rush_hour_control,ppo,46,-8377.00,20.942,False
rush_hour_control,ppo,47,-16390.00,40.975,False
rush_hour_control,ppo,48,-12977.00,32.443,False
rush_hour_control,ppo,49,-12866.00,32.165,False
rush_hour_control,greedy,0,-12268.00,30.670,False
rush_hour_control,greedy,1,-12580.00,31.450,False
rush_hour_control,greedy,2,-11406.00,28.515,False
rush_hour_control,greedy,3,-14001.00,35.002,False
rush_hour_control,greedy,4,-15121.00,37.803,False
rush_hour_control,greedy,5,-13470.00,33.675,False
rush_hour_control,greedy,6,-13472.00,33.680,False
rush_hour_control,greedy,7,-12513.00,31.282,False
rush_hour_control,greedy,8,-13367.00,33.417,False
rush_hour_control,greedy,9,-14337.00,35.843,False
rush_hour_control,greedy,10,-10871.00,27.177,False
rush_hour_control,greedy,11,-13970.00,34.925,False
rush_hour_control,greedy,12,-13181.00,32.953,False
rush_hour_control,greedy,13,-10648.00,26.620,False
rush_hour_control,greedy,14,-12465.00,31.163,False
rush_hour_control,greedy,15,-10015.00,25.038,False
rush_hour_control,greedy,16,-11586.00,28.965,False
rush_hour_control,greedy,17,-14590.00,36.475,False
rush_hour_control,greedy,18,-14480.00,36.200,False
rush_hour_control,greedy,19,-10999.00,27.497,False
rush_hour_control,greedy,20,-14197.00,35.492,False
rush_hour_control,greedy,21,-12260.00,30.650,False
rush_hour_control,greedy,22,-12102.00,30.255,False
rush_hour_control,greedy,23,-8340.00,20.850,False
rush_hour_control,greedy,24,-15309.00,38.273,False
rush_hour_control,greedy,25,-13549.00,33.873,False
rush_hour_control,greedy,26,-14768.00,36.920,False
rush_hour_control,greedy,27,-13747.00,34.367,False
rush_hour_control,greedy,28,-12033.00,30.082,False
rush_hour_control,greedy,29,-13372.00,33.430,False
rush_hour_control,greedy,30,-12845.00,32.112,False
rush_hour_control,greedy,31,-12054.00,30.135,False
rush_hour_control,greedy,32,-15129.00,37.822,False
rush_hour_control,greedy,33,-16334.00,40.835,False
rush_hour_control,greedy,34,-11356.00,28.390,False
rush_hour_control,greedy,35,-15651.00,39.127,False
rush_hour_control,greedy,36,-12321.00,30.802,False
rush_hour_control,greedy,37,-14922.00,37.305,False
rush_hour_control,greedy,38,-13416.00,33.540,False
rush_hour_control,greedy,39,-16310.00,40.775,False
rush_hour_control,greedy,40,-12913.00,32.282,False
rush_hour_control,greedy,41,-11662.00,29.155,False
rush_hour_control,greedy,42,-11487.00,28.718,False
rush_hour_control,greedy,43,-13324.00,33.310,False
rush_hour_control,greedy,44,-15060.00,37.650,False
rush_hour_control,greedy,45,-12111.00,30.277,False
rush_hour_control,greedy,46,-8085.00,20.212,False
rush_hour_control,greedy,47,-16390.00,40.975,False
rush_hour_control,greedy,48,-12973.00,32.432,False
rush_hour_control,greedy,49,-12788.00,31.970,False
rush_hour_control,fixed_1,0,-12268.00,30.670,False
rush_hour_control,fixed_1,1,-13214.00,33.035,False
rush_hour_control,fixed_1,2,-11406.00,28.515,False
rush_hour_control,fixed_1,3,-14001.00,35.002,False
rush_hour_control,fixed_1,4,-15121.00,37.803,False
rush_hour_control,fixed_1,5,-13470.00,33.675,False
rush_hour_control,fixed_1,6,-13472.00,33.680,False
rush_hour_control,fixed_1,7,-12513.00,31.282,False
